State,City,percent_completed_hs,poverty_rate,Median Income,Lat,Lng,cityarea,city_name,city_type,county
AL,Fredonia CDP,88.6,18.4,66591,32.989574,-85.288094,Fredonia CDP,Fredonia,CDP,
AL,Frisco City town,77.3,31.3,17311,31.4334985,-87.401375,Frisco City town,Frisco City,town,
AL,Fruitdale CDP,93.3,33,63125,31.3429195,-88.4077369,Fruitdale CDP,Fruitdale,CDP,
AL,Fruithurst town,75.8,13.5,35625,33.730938200000004,-85.43384420000001,Fruithurst town,Fruithurst,town,
AL,Fulton town,76,19.9,32083,31.7884881,-87.72722209999999,Fulton town,Fulton,town,
AL,Fultondale city,85.1,14,51587,33.610283700000004,-86.7967857,Fultondale city,Fultondale,city,
AL,Fyffe town,83.7,12.8,42356,34.446754999999996,-85.9041395,Fyffe town,Fyffe,town,
AL,Gadsden city,78.3,29.4,29136,34.014264000000004,-86.00663859999999,Gadsden city,Gadsden,city,
AL,Gainesville town,76.7,40.9,14444,32.820963899999995,-88.158914,Gainesville town,Gainesville,town,
AL,Gallant CDP,83.7,3.9,45859,33.9987084,-86.24525600000001,Gallant CDP,Gallant,CDP,
AL,Gantt town,85.6,8.3,47000,31.4068339,-86.4841273,Gantt town,Gantt,town,
AL,Garden City town,79.8,19.3,31591,34.014543599999996,-86.74694140000001,Garden City town,Garden City,town,
AL,Gardendale city,92.2,7.8,56132,33.6601033,-86.8127702,Gardendale city,Gardendale,city,
AL,Gaylesville town,78.4,19.3,26818,34.268426,-85.5569057,Gaylesville town,Gaylesville,town,
AL,Geiger town,71.3,19.5,45125,32.868185700000005,-88.3050321,Geiger town,Geiger,town,
AL,Geneva city,78.1,30.3,29912,31.0329572,-85.86382420000001,Geneva city,Geneva,city,
AL,Georgiana town,71.1,35.5,19969,31.637102799999997,-86.7419175,Georgiana town,Georgiana,town,
AL,Geraldine town,84.2,13.8,42292,34.35147979999999,-86.0008078,Geraldine town,Geraldine,town,
AL,Gilbertown town,83.8,21.5,33750,31.877097499999998,-88.32140890000001,Gilbertown town,Gilbertown,town,
AL,Glen Allen town,76.5,21.4,24531,33.915104299999996,-87.74168759999999,Glen Allen town,Glen Allen,town,
AL,Glencoe city,86.6,11.1,46691,33.957043,-85.93246979999999,Glencoe city,Glencoe,city,
AL,Glenwood town,84.8,13.6,36000,31.664603200000002,-86.1713444,Glenwood town,Glenwood,town,
AL,Goldville town,86.7,9.3,46250,33.0837311,-85.7838493,Goldville town,Goldville,town,
AL,Good Hope town,86.5,15.2,47754,34.115932799999996,-86.8636123,Good Hope town,Good Hope,town,
AL,Goodwater town,71.6,32.2,23809,33.065675,-86.05330129999999,Goodwater town,Goodwater,town,
AL,Gordo town,80.4,26.3,30781,33.3201178,-87.90279620000001,Gordo town,Gordo,town,
AL,Gordon town,66.8,26.9,22250,31.1412918,-85.09659649999999,Gordon town,Gordon,town,
AL,Gordonville town,76.1,39.2,18224,32.160026,-86.6963561,Gordonville town,Gordonville,town,
AL,Goshen town,71.2,31.9,40132,31.722935200000002,-86.1182882,Goshen town,Goshen,town,
AL,Graham CDP,74,4.5,41914,33.457829,-85.3201623,Graham CDP,Graham,CDP,
AL,Grand Bay CDP,84.6,6.4,48767,30.476308399999997,-88.3422303,Grand Bay CDP,Grand Bay,CDP,
AL,Grant town,89.2,7.2,55000,34.5286985,-86.2533163,Grant town,Grant,town,
AL,Grayson Valley CDP,90.4,8.9,46250,33.6481581,-86.6394323,Grayson Valley CDP,Grayson Valley,CDP,
AL,Graysville city,79.8,17.4,41282,33.62066110000001,-86.9713844,Graysville city,Graysville,city,
AL,Greensboro city,75,39.3,21797,32.7045753,-87.59583959999999,Greensboro city,Greensboro,city,
AL,Greenville city,78.4,25.8,29741,31.829597200000002,-86.6177517,Greenville city,Greenville,city,
AL,Grimes town,84.5,19.1,31579,31.3046175,-85.44799,Grimes town,Grimes,town,
AL,Grove Hill town,85.8,26.1,31786,31.708768100000004,-87.77722179999999,Grove Hill town,Grove Hill,town,
AL,Guin city,75.4,37.5,23000,33.9656594,-87.9147494,Guin city,Guin,city,
AL,Gulfcrest CDP,87.2,0,68462,30.9954598,-88.23750559999999,Gulfcrest CDP,Gulfcrest,CDP,
AL,Gulf Shores city,92.9,16.6,47662,30.246036100000005,-87.70081929999999,Gulf Shores city,Gulf Shores,city,
AL,Guntersville city,83.1,16.2,39756,34.3581473,-86.29470409999999,Guntersville city,Guntersville,city,
AL,Gurley town,74.5,30.8,32500,34.701755799999994,-86.37582009999998,Gurley town,Gurley,town,
AL,Gu-Win town,87.2,12,39000,33.960937,-87.8805816,Gu-Win town,Gu-Win,town,
AL,Hackleburg town,76.5,25.7,28819,34.27732,-87.8286423,Hackleburg town,Hackleburg,town,
AL,Hackneyville CDP,95.1,17.8,60474,33.0603977,-85.9330202,Hackneyville CDP,Hackneyville,CDP,
AL,Haleburg town,80,8.3,54167,31.406562,-85.1371525,Haleburg town,Haleburg,town,
AL,Haleyville city,70.7,26.8,24291,34.226488,-87.62141329999999,Haleyville city,Haleyville,city,
AL,Hamilton city,82.7,18.5,33053,34.142323499999996,-87.98864379999999,Hamilton city,Hamilton,city,
AL,Hammondville town,74.5,8,43281,34.5817507,-85.6266327,Hammondville town,Hammondville,town,
AL,Hanceville city,77.7,25.8,29231,34.0606545,-86.767498,Hanceville city,Hanceville,city,
AL,Harpersville town,80.7,18.8,35972,33.3439995,-86.43803570000001,Harpersville town,Harpersville,town,
AL,Hartford city,70.6,36.7,22094,31.1023998,-85.6968778,Hartford city,Hartford,city,
AL,Hartselle city,91.9,6.9,53878,34.4434282,-86.93528420000001,Hartselle city,Hartselle,city,
AL,Harvest CDP,90.6,5.5,63708,34.8556441,-86.7508323,Harvest CDP,Harvest,CDP,
AL,Hatton CDP,83.2,0,(X),34.562870700000005,-87.415301,Hatton CDP,Hatton,CDP,
AL,Hayden town,83.4,7.9,50795,33.8926003,-86.757773,Hayden town,Hayden,town,
AL,Hayneville town,72.1,44.4,18802,32.1840315,-86.5802533,Hayneville town,Hayneville,town,
AL,Hazel Green CDP,88.2,14.9,41938,34.9323102,-86.57193829999999,Hazel Green CDP,Hazel Green,CDP,
AL,Headland city,88.1,13.1,51822,31.351284000000003,-85.3421559,Headland city,Headland,city,
AL,Heath town,80.3,32.5,38333,31.3607243,-86.4696811,Heath town,Heath,town,
AL,Heflin city,74.3,22.6,25823,33.64449260000001,-85.5842385,Heflin city,Heflin,city,
AL,Helena city,97.7,2.1,84615,33.296224,-86.84360040000001,Helena city,Helena,city,
AL,Henagar city,71.7,19.4,30757,34.635084,-85.7671936,Henagar city,Henagar,city,
AL,Highland Lake town,94.3,9.2,51250,33.885098600000006,-86.4197059,Highland Lake town,Highland Lake,town,
AL,Highland Lakes CDP,97.6,2,124291,33.885098600000006,-86.4197059,Highland Lakes CDP,Highland Lakes,CDP,
AL,Hillsboro town,74.6,17.6,34712,34.639258,-87.1916834,Hillsboro town,Hillsboro,town,
AL,Hissop CDP,73.8,23.2,25032,32.8923461,-86.15330279999999,Hissop CDP,Hissop,CDP,
AL,Hobson CDP,63.6,0,(X),31.47222,-88.15333000000001,Hobson CDP,Hobson,CDP,
AL,Hobson City town,77.3,41.3,25563,33.6214934,-85.8441318,Hobson City town,Hobson City,town,
AL,Hodges town,69.3,26.9,29583,34.3270425,-87.9264233,Hodges town,Hodges,town,
AL,Hokes Bluff city,89.2,13.7,46042,33.99815460000001,-85.8663574,Hokes Bluff city,Hokes Bluff,city,
AL,Hollins CDP,68.2,24.4,(X),33.1176176,-86.1444152,Hollins CDP,Hollins,CDP,
AL,Hollis Crossroads CDP,71.4,29,34408,33.523720000000004,-85.6371805,Hollis Crossroads CDP,Hollis Crossroads,CDP,
AL,Holly Pond town,90.4,19,44750,34.174263399999994,-86.616382,Holly Pond town,Holly Pond,town,
AL,Hollywood town,71.3,20.3,29306,34.72425,-85.9724787,Hollywood town,Hollywood,town,
AL,Holt CDP,75,46.4,30446,33.2340066,-87.4844489,Holt CDP,Holt,CDP,
AL,Holtville CDP,85.6,11.1,52713,32.636185,-86.321991,Holtville CDP,Holtville,CDP,
AL,Homewood city,93.5,12.7,61626,33.4717732,-86.8008228,Homewood city,Homewood,city,
AL,Hoover city,95.2,6,77146,33.405386699999994,-86.8113781,Hoover city,Hoover,city,
AL,Horn Hill town,66.3,10.2,34464,31.245725899999996,-86.3166187,Horn Hill town,Horn Hill,town,
AL,Hueytown city,86.5,14.3,42172,33.451219699999996,-86.99666059999998,Hueytown city,Hueytown,city,
